no target_name difficulty F1 Round
1 T1052o easy 66.06666667 casp14
2 T1032o easy 61.2 casp14
17 T1084o medium 83.8 casp14
18 H1045 medium 80.4 casp14
19 H1036 medium 71.7466978 casp14
20 T1048o medium 57.85124555 casp14
21 T1083o medium 57 casp14
22 H1081v0 medium 56.1 casp14
23 H1060v5 medium 50.97278107 casp14
24 H1097 medium 43.66648352 casp14
25 H1036v0 medium 39.92333333 casp14
26 T1099ov2 medium 38.6 casp14
27 T1087o medium 36.2 casp14
28 H1060v4 medium 32.94970414 casp14
29 T1099ov1 medium 32.7 casp14
30 H1060v3 medium 28.36666667 casp14
31 T1078o medium 26 casp14
32 H1060v2 medium 24.06666667 casp14
33 H1072 medium 22.44353741 casp14
34 T1034o medium 15.37546296 casp14
35 H1060v1 medium 11.297 casp14
38 T1062o hard 55.3 casp14
39 H1065 hard 48.2 casp14
40 H1060v0 hard 40.75195954 casp14
41 T1099ov0 hard 28.7751004 casp14
42 T1080o hard 20.29884226 casp14
43 T1061o hard 18.6 casp14
44 H1047 hard 14 casp14
45 T1070o hard 10.73333333 casp14
46 T1054o hard 7 casp14
47 T1038o hard 6.6 casp14
48 T1073o hard 3.984615385 casp14
