gr_type gr_no gr_name mean std_dev color ranking number_of_targets     SUM_Zscore avg_zscore_pertarget
human 374 Zheng 34.438407 0.712123 steelblue 1 41 35.2994 0.860960976
human 494 Venclovas 28.434985 0.675792 steelblue 2 41 29.1459 0.71087561
human 37 Wallner 27.452395 0.935315 steelblue 3 35 28.1387 0.803962857
server 239 Yang-Multimer 24.09232 0.619939 olivedrab 4 39 24.6946 0.633194872
human 439 Yang 23.584285 0.61488 steelblue 5 39 24.1739 0.61984359
human 119 Kiharalab 21.291083 0.492468 steelblue 6 41 21.8234 0.532278049
human 3 MULTICOM_human 20.209912 0.322043 steelblue 7 41 20.7152 0.50524878
human 248 Manifold 19.792966 0.489045 steelblue 8 41 20.2878 0.49482439
human 180 McGuffin 19.406398 0.468557 steelblue 9 41 19.8916 0.485160976
human 367 MULTICOM 19.171244 0.334179 steelblue 10 41 19.6505 0.479280488
server 35 Manifold-E 18.398912 0.487218 olivedrab 11 41 18.8589 0.459973171
server 86 MULTICOM_qa 17.905249 0.300322 olivedrab 12 41 18.3529 0.447631707
human 278 PEZYFoldings 17.507715 0.501961 steelblue 13 39 17.9454 0.460138462
server 288 DFolding-server 16.598522 0.539228 olivedrab 14 33 17.0135 0.515560606
server 158 MULTICOM_deep 15.889622 0.278646 olivedrab 15 41 16.2869 0.397241463
human 444 CoDock 15.866556 0.573128 steelblue 16 41 16.2632 0.396663415
human 185 BAKER 15.52381 0.453286 steelblue 17 41 15.9119 0.388095122
human 54 UltraFold 15.394851 0.461709 steelblue 18 41 15.7797 0.384870732
human 399 BeijingAIProtein 15.332905 0.462892 steelblue 19 40 15.7162 0.392905
server 125 UltraFold_Server 15.32499 0.462552 olivedrab 20 41 15.7081 0.38312439
human 320 Elofsson 15.304315 0.247081 steelblue 21 41 15.6869 0.382607317
human 348 Takeda-Shitaka_Lab 15.246193 0.296589 steelblue 22 41 15.6274 0.381156098
server 462 MultiFOLD 14.864195 0.448395 olivedrab 23 41 15.2358 0.371604878
human 360 MUFold_H 14.728327 0.319502 steelblue 24 41 15.0965 0.368207317
human 461 colabfold_human 13.993727 0.340611 steelblue 25 40 14.3436 0.35859
server 298 MUFold 13.74682 0.256934 olivedrab 26 41 14.0905 0.343670732
human 314 Pierce 13.701054 0.596043 steelblue 27 26 14.0436 0.540138462
server 131 Kiharalab_Server 13.18871 0.561069 olivedrab 28 40 13.5184 0.33796
server 446 ColabFold 12.457976 0.306873 olivedrab 29 39 12.7694 0.327420513
AF2M 390 NBIS-AF2-multimer 11.97172 0.238878 orange 30 41 12.271 0.299292683
server 71 RaptorX-Multimer 11.62709 0.271216 olivedrab 31 40 11.9178 0.297945
human 150 Grudinin 11.596459 0.236467 steelblue 32 37 11.8864 0.321254054
human 477 DMP 11.140576 0.417815 steelblue 33 31 11.4191 0.368358065
server 229 Yang-Server 10.23901 0.36691 olivedrab 34 21 10.495 0.499761905
human 147 SHT 9.952569 0.356345 steelblue 35 40 10.2014 0.255035
server 73 DFolding-refine 9.101924 0.445652 olivedrab 36 35 9.3295 0.266557143
human 225 ShanghaiTech 9.052702 0.47329 steelblue 37 22 9.279 0.421772727
human 350 ClusPro 8.817472 0.230169 steelblue 38 36 9.0379 0.251052778
human 169 GuijunLab-Human 8.648598 0.21569 steelblue 39 39 8.8648 0.227302564
human 434 Coqualia 8.445608 0.357431 steelblue 40 21 8.6567 0.41222381
server 98 GuijunLab-Assembly 8.390262 0.256831 olivedrab 41 41 8.6 0.209756098
human 165 FTBiot0119 7.482459 0.307646 steelblue 42 41 7.6695 0.187060976
human 493 Shen-CAPRI 7.403258 0.48823 steelblue 43 34 7.5883 0.223185294
human 423 trComplex 7.26324 0.251321 steelblue 44 38 7.4448 0.195915789
server 11 GinobiFold-SER 6.609854 0.331432 olivedrab 45 17 6.7751 0.398535294
server 188 GuijunLab-DeepDA 6.291833 0.199944 olivedrab 46 41 6.4491 0.157295122
human 187 TRFold 5.979033 0.229934 steelblue 47 37 6.1285 0.165635135
human 205 Zou 5.965989 0.187761 steelblue 48 36 6.1151 0.169863889
human 227 GinobiFold 5.412935 0.22014 steelblue 49 21 5.5483 0.264204762
human 304 Manifold-X 5.306966 0.287083 steelblue 50 10 5.4396 0.54396
human 257 WL_team 5.181658 0.222162 steelblue 51 21 5.3112 0.252914286
human 447 DELCLAB 5.143913 0.429564 steelblue 52 35 5.2725 0.150642857
human 92 Agemo_mix 4.994136 0.230694 steelblue 53 21 5.119 0.243761905
human 291 Kozakov-Vajda 4.897989 0.193196 steelblue 54 25 5.0204 0.200816
human 91 UNRES 4.769765 0.189575 steelblue 55 37 4.889 0.132135135
human 74 DFolding 4.730897 0.293527 steelblue 56 10 4.8492 0.48492
server 133 ShanghaiTech-TS-SER 4.605884 0.20568 olivedrab 57 17 4.721 0.277705882
human 385 FoldEver-Hybrid 4.524369 0.142818 steelblue 58 36 4.6375 0.128819444
server 245 FoldEver 4.212252 0.156665 olivedrab 59 29 4.3176 0.148882759
server 46 Manifold-LC-E 3.951454 0.250764 olivedrab 60 9 4.0502 0.450022222
human 397 bio3d 3.743278 0.362496 steelblue 61 6 3.8369 0.639483333
human 312 Fernandez-Recio 3.724565 0.168205 steelblue 62 32 3.8177 0.119303125
human 398 ChaePred 3.383231 0.139788 steelblue 63 34 3.4678 0.101994118
human 441 OpenFold 2.756137 0.243274 steelblue 64 25 2.825 0.113
human 433 OpenFold-SingleSeq 2.756137 0.243274 steelblue 65 25 2.825 0.113
human 347 AIchemy_LIG3 2.669804 0.160426 steelblue 66 10 2.7365 0.27365
human 456 AIchemy_LIG2 2.642185 0.158716 steelblue 67 10 2.7082 0.27082
human 325 AIchemy_LIG 2.642185 0.158716 steelblue 68 10 2.7082 0.27082
human 472 ddquest 2.214995 0.202741 steelblue 69 3 2.2704 0.7568
human 352 KORP-PL 2.141385 0.179909 steelblue 70 4 2.1949 0.548725
human 460 Convex-PL-R 1.978137 0.179177 steelblue 71 3 2.0276 0.675866667
human 122 zax 1.951552 0.13647 steelblue 72 6 2.0003 0.333383333
human 201 UTMB 1.872088 0.167075 steelblue 73 5 1.9189 0.38378
human 338 Convex-PL 1.673951 0.152727 steelblue 74 3 1.7158 0.571933333
human 199 TB_model_prediction 1.275366 0.113739 steelblue 75 4 1.3073 0.326825
server 215 XRC_VU 1.117385 0.126218 olivedrab 76 14 1.1453 0.081807143
human 97 Graphen_Medical 0.914918 0.061264 steelblue 77 10 0.9378 0.09378
human 67 ESM-single-sequence 0.866592 0.102904 steelblue 78 13 0.8883 0.068330769
server 315 Cerebra 0.521342 0.064747 olivedrab 79 7 0.5344 0.076342857
human 52 Gonglab-THU 0.521342 0.064747 steelblue 80 8 0.5344 0.0668
human 236 noxelis 0.400038 0.063252 steelblue 81 1 0.41 0.41
human 132 TensorLab 0.350261 0.039674 steelblue 82 3 0.359 0.119666667
