target_name Zheng_best_F1 Venclovas_best_F1 Wallner_best_F1
H1106 81.3 81.4 80.4
H1111 47.9 45.1 4.5
H1114 82.9 81.8 6
H1114v2 57.3 62.2 2.4
H1129 23.3 75.2 75.8
H1134 75.1 76.3 81.1
H1135 60 65.9 60.4
H1137 79.9 82.2 62.2
H1140 53.8 26.7 80.7
H1141 80.3 72.3 75
H1142 1.9 0 2.2
H1143 89.9 85.2 90.7
H1144 74.1 11.5 73.2
H1151 81.7 80.9 84.1
H1166v1 9.6 28.8 2.4
H1167v1 0 9.7 0
H1168v1 69.7 79.3 70.7
T1109 82.5 81.9 85.2
T1110 95.1 91.4 92.4
T1113 90.2 90.1 78.1
T1121 43.4 55.2 50.7
T1123 33.1 43.2 38.2
T1124 82.5 83.4 84.7
T1127 89.6 89.2 90
T1132 85.4 86.2 84.6
T1153 81 81.9 85.4
T1160 15.6 18.3 17.7
T1161 42.7 40.9 92
T1170 60.2 59.9 59.7
T1173 63.3 54.6 67.3
T1174 80.7 86.1 82.9
T1178 69 60.2 64.9
T1179 71.7 21.7 23.3
T1181 60.3 56.8 46.7
T1187 2.9 95.1 85.7
T1192 68.3 74.2 70.5
