target_name gr_no first_F1 target_name1 gr_no1 best_F1
H1106 37 79.4 H1106 37 80.4
H1111 37 3.9 H1111 37 4.5
H1114 37 5.6 H1114 37 6
H1114v2 37 1.8 H1114v2 37 2.4
H1129 37 75.8 H1129 37 75.8
H1134 37 81.1 H1134 37 81.1
H1135 37 59.1 H1135 37 60.4
H1137 37 62.2 H1137 37 62.2
H1140 37 80.7 H1140 37 80.7
H1141 37 75 H1141 37 75
H1142 37 0 H1142 37 2.2
H1143 37 90.7 H1143 37 90.7
H1144 37 73.2 H1144 37 73.2
H1151 37 84.1 H1151 37 84.1
H1166v1 37 1.7 H1166v1 37 2.4
H1167v1 37 0 H1167v1 37 0
H1168v1 37 70.7 H1168v1 37 70.7
T1109 37 49.2 T1109 37 85.2
T1110 37 92.4 T1110 37 92.4
T1113 37 78 T1113 37 78.1
T1121 37 44.2 T1121 37 50.7
T1123 37 38.2 T1123 37 38.2
T1124 37 83 T1124 37 84.7
T1127 37 90 T1127 37 90
T1132 37 84.6 T1132 37 84.6
T1153 37 0 T1153 37 85.4
T1160 37 15.6 T1160 37 17.7
T1161 37 41.4 T1161 37 92
T1170 37 59.7 T1170 37 59.7
T1173 37 67.3 T1173 37 67.3
T1174 37 82.9 T1174 37 82.9
T1178 37 64.9 T1178 37 64.9
T1179 37 17.8 T1179 37 23.3
T1181 37 46.7 T1181 37 46.7
T1187 37 85.7 T1187 37 85.7
T1192 37 68.1 T1192 37 70.5
