difficulty target_name F1 lDDToligo Jaccard TMscore
easy H1106 80.5 0.807 0.82 0.908
easy H1106 78.5 0.812 0.74 0.937
easy H1106 78.5 0.812 0.74 0.937
easy H1106 82.0 0.847 0.83 0.935
easy H1106 78.9 0.838 0.80 0.933
easy H1106 83.6 0.850 0.84 0.936
easy H1106 83.6 0.850 0.84 0.936
easy H1106 80.0 0.844 0.81 0.914
easy H1106 82.0 0.847 0.83 0.935
easy H1106 82.7 0.834 0.82 0.923
easy H1106 80.9 0.827 0.83 0.935
easy H1106 81.6 0.849 0.82 0.935
easy H1106 81.6 0.849 0.82 0.935
easy H1106 80.0 0.835 0.84 0.909
easy H1106 82.7 0.850 0.82 0.936
easy H1106 82.7 0.850 0.82 0.936
easy H1106 80.9 0.827 0.83 0.935
easy H1106 81.6 0.835 0.86 0.912
easy H1106 73.3 0.796 0.72 0.902
easy H1106 81.3 0.846 0.82 0.913
easy H1106 81.4 0.833 0.87 0.908
easy H1106 81.8 0.836 0.87 0.911
easy H1106 78.7 0.838 0.80 0.934
easy H1106 80.0 0.846 0.80 0.915
easy H1106 80.0 0.845 0.84 0.911
easy H1106 79.3 0.810 0.76 0.912
easy H1106 79.6 0.840 0.80 0.934
easy H1106 80.6 0.845 0.82 0.910
easy H1106 80.9 0.818 0.79 0.912
easy H1106 80.0 0.847 0.84 0.913
easy H1106 81.4 0.829 0.82 0.919
easy H1106 80.0 0.840 0.80 0.934
easy H1106 80.2 0.847 0.81 0.915
easy H1106 81.4 0.840 0.81 0.909
easy H1106 79.6 0.834 0.84 0.911
easy H1106 82.7 0.815 0.84 0.911
easy H1106 81.3 0.842 0.85 0.909
easy H1106 80.4 0.840 0.84 0.913
easy H1106 80.7 0.849 0.81 0.917
easy H1106 82.0 0.843 0.88 0.908
easy H1106 76.9 0.783 0.80 0.903
easy H1106 80.0 0.825 0.84 0.905
easy H1106 79.2 0.827 0.82 0.901
easy H1106 78.3 0.800 0.77 0.934
easy H1106 78.3 0.800 0.77 0.934
easy H1106 78.7 0.833 0.78 0.932
easy H1106 77.7 0.834 0.74 0.934
easy H1106 77.5 0.798 0.74 0.935
easy H1106 77.5 0.798 0.74 0.935
easy H1106 76.0 0.820 0.72 0.930
easy H1106 78.7 0.836 0.76 0.934
easy H1106 81.7 0.812 0.85 0.926
easy H1106 81.7 0.812 0.85 0.926
easy H1106 83.3 0.810 0.86 0.916
easy H1106 77.8 0.827 0.74 0.931
easy H1106 79.8 0.839 0.77 0.934
easy H1106 79.3 0.804 0.81 0.897
easy H1106 79.3 0.804 0.81 0.897
easy H1106 79.8 0.848 0.77 0.933
easy H1106 81.4 0.838 0.77 0.933
easy H1106 80.0 0.837 0.77 0.933
easy H1106 80.0 0.837 0.77 0.933
easy H1106 80.0 0.837 0.77 0.933
easy H1106 80.0 0.837 0.77 0.933
easy H1106 80.2 0.841 0.77 0.934
easy H1106 80.2 0.841 0.77 0.934
easy H1106 80.2 0.841 0.77 0.934
easy H1106 79.6 0.799 0.74 0.933
easy H1106 80.2 0.841 0.77 0.934
easy H1106 80.2 0.841 0.77 0.934
easy H1106 81.1 0.837 0.76 0.932
easy H1106 80.9 0.801 0.83 0.905
easy H1106 81.1 0.832 0.77 0.933
