Model F1 Jaccard lDDToligo TMscore DockQ_Avg
H1114TS350_1 66.1 0.68 0.854 0.206 0.432
H1114TS350_3 66.1 0.68 0.854 0.206 0.432
H1114TS003_1 65.3 0.67 0.850 0.258 0.432
H1114TS350_2 59.8 0.67 0.765 0.183 0.425
H1114TS367_1 65.4 0.68 0.849 0.249 0.430
H1114TS003_2 65.3 0.67 0.849 0.251 0.427
H1114TS367_2 65.2 0.67 0.848 0.279 0.431
H1114TS494_1 81.2 0.82 0.868 0.939 0.689
H1114TS439_5 83.9 0.85 0.887 0.973 0.716
H1114TS439_1 84.1 0.85 0.885 0.975 0.704
H1114TS494_3 81.8 0.83 0.866 0.935 0.679
H1114TS494_4 80.3 0.82 0.866 0.865 0.626
H1114TS494_2 80.3 0.82 0.866 0.903 0.603
H1114TS439_4 82.3 0.83 0.885 0.908 0.602
H1114TS439_2 82.1 0.83 0.884 0.833 0.593
H1114TS439_3 82.2 0.83 0.882 0.773 0.585
H1114TS248_3 79.2 0.80 0.842 0.883 0.527
H1114TS304_3 79.2 0.80 0.842 0.883 0.527
H1114TS119_1 74.5 0.77 0.766 0.914 0.628
H1114TS046_1 77.1 0.77 0.835 0.882 0.512
H1114TS304_1 77.1 0.77 0.835 0.882 0.512
H1114TS248_1 77.1 0.77 0.835 0.882 0.512
H1114TS035_1 77.1 0.77 0.835 0.882 0.512
H1114TS119_2 75.8 0.78 0.825 0.912 0.661
H1114TS119_3 75.6 0.76 0.826 0.912 0.662
H1114TS119_5 75.0 0.77 0.825 0.913 0.654
H1114TS119_4 75.9 0.77 0.826 0.913 0.656
H1114TS185_5 54.0 0.58 0.790 0.306 0.352
H1114TS091_3 56.0 0.62 0.725 0.243 0.386
H1114TS185_3 53.8 0.59 0.795 0.273 0.352
H1114TS185_1 53.4 0.58 0.788 0.249 0.350
H1114TS185_4 53.4 0.58 0.791 0.342 0.351
H1114TS348_4 76.1 0.77 0.853 0.620 0.391
H1114TS091_2 52.7 0.59 0.718 0.669 0.322
H1114TS125_4 69.0 0.70 0.866 0.459 0.484
H1114TS054_4 69.0 0.70 0.866 0.459 0.484
H1114TS399_4 69.0 0.70 0.866 0.459 0.484
H1114TS348_1 77.9 0.80 0.858 0.877 0.412
H1114TS298_4 67.9 0.74 0.855 0.544 0.466
H1114TS360_4 67.9 0.74 0.855 0.544 0.466
H1114TS298_3 67.8 0.69 0.856 0.325 0.463
H1114TS360_3 67.8 0.69 0.856 0.325 0.463
H1114TS374_4 82.9 0.85 0.856 0.931 0.708
H1114TS374_3 81.6 0.84 0.852 0.909 0.625
H1114TS147_1 79.5 0.80 0.849 0.694 0.444
H1114TS374_1 82.2 0.85 0.848 0.908 0.662
H1114TS374_2 81.7 0.84 0.852 0.864 0.632
H1114TS374_5 81.9 0.85 0.850 0.887 0.662
