target_name gr_no first_F1 target_name1 gr_no1 best_F1
H1106 374 80 H1106 374 81.3
H1111 374 47.9 H1111 374 47.9
H1114 374 82.2 H1114 374 82.9
H1114v2 374 55.3 H1114v2 374 57.3
H1129 374 1.1 H1129 374 23.3
H1134 374 59.8 H1134 374 75.1
H1135 374 59.8 H1135 374 60
H1137 374 78.7 H1137 374 79.9
H1140 374 51.1 H1140 374 53.8
H1141 374 79.4 H1141 374 80.3
H1142 374 0 H1142 374 1.9
H1143 374 89.9 H1143 374 89.9
H1144 374 73.6 H1144 374 74.1
H1151 374 76.9 H1151 374 81.7
H1157 374 73.6 H1157 374 73.6
H1166v1 374 1.7 H1166v1 374 9.6
H1167v1 374 0 H1167v1 374 0
H1168v1 374 69.4 H1168v1 374 69.7
H1171 374 52.4 H1171 374 57.5
H1172 374 55.6 H1172 374 55.6
H1185 374 67.2 H1185 374 68.5
T1109 374 82.5 T1109 374 82.5
T1110 374 90.4 T1110 374 95.1
T1113 374 89.7 T1113 374 90.2
T1115 374 38.9 T1115 374 38.9
T1121 374 43.2 T1121 374 43.4
T1123 374 31.1 T1123 374 33.1
T1124 374 81.9 T1124 374 82.5
T1127 374 88.7 T1127 374 89.6
T1132 374 85.3 T1132 374 85.4
T1153 374 78.6 T1153 374 81
T1160 374 15.3 T1160 374 15.6
T1161 374 40.7 T1161 374 42.7
T1170 374 58.2 T1170 374 60.2
T1173 374 57 T1173 374 63.3
T1174 374 78.9 T1174 374 80.7
T1178 374 68.6 T1178 374 69
T1179 374 67.8 T1179 374 71.7
T1181 374 60.3 T1181 374 60.3
T1187 374 2.7 T1187 374 2.9
T1192 374 68.1 T1192 374 68.3
