difficulty classification target_name model_info F1 Jaccard.Coeff. lDDToligo TMscore DockQ_Avg Neff_comb aa_size
medium intertwined H1114 TS439_1 84.1 0.85 0.885 0.975 0.704 2249.846424 7360
medium heteromer H1111 TS239_2 60.9 0.62 0.755 0.984 0.712 1616.870843 4499
medium homomer T1115 TS494_1o 67.7 0.7 0.693 0.899 0.452 3201.023586 3968
medium intertwined H1137 TS397_1 82.6 0.84 0.821 0.869 0.617 11888.94285 3343
easy intertwined T1181 TS278_1o 62.7 0.63 0.801 0.854 0.247 2431.730865 2064
easy heteromer H1172 TS304_5 62.6 0.67 0.797 0.914 0.443 4520.750491 1964
easy heteromer H1171 TS462_1 61.9 0.62 0.81 0.932 0.547 4520.750491 1918
easy homomer T1170 TS439_2o 65 0.67 0.792 0.925 0.559 3686.498339 1870
medium heteromer H1135 TS399_3 68.4 0.68 0.81 0.942 0.378 324.2544657 1821
medium heteromer H1157 TS248_3 78.7 0.73 0.7 0.785 0.375 4888.810642 1446
medium intertwined H1114v2 TS494_3 62.2 0.55 0.852 0.729 0.776 2249.846424 1324
medium heteromer H1129 TS037_1 75.8 0.81 0.85 0.966 0.647 44.02619048 1259
easy homomer T1192 TS439_4o 75 0.69 0.792 0.822 0.723 3205.5 1246
hard intertwined T1174 TS248_3o 89.8 0.89 0.861 0.446 0.434 1288.079966 1014
easy heteromer H1185 TS439_2 72.3 0.7 0.778 0.97 0.783 6962.955002 928
medium intertwined T1121 TS288_5o 67.6 0.56 0.792 0.85 0.487 2160.185177 739
easy intertwined T1124 TS367_2o 88.9 0.83 0.858 0.964 0.762 11132.3567 738
hard intertwined T1173 TS439_5o 69.2 0.69 0.853 0.418 0.863 220.8845852 612
medium homomer T1132 TS248_5o 89.8 0.89 0.913 0.988 0.895 1992.292038 603
medium antibody-antigen H1168 TS073_2 83.5 0.83 0.824 0.945 0.722 3166.217744 564
medium antibody-antigen H1166 TS248_3 29.5 0.34 0.817 0.811 0.146 3215.158348 553
medium antibody-antigen H1167 TS225_5 12 0.35 0.844 0.592 0.093 3138.098638 540
easy heteromer H1151 TS037_1 84.1 0.82 0.842 0.924 0.706 1141.990337 539
easy homomer T1178 TS288_2o 72.3 0.85 0.822 0.96 0.658 32.58333333 537
medium homomer T1153 TS086_5o 85.7 0.82 0.878 0.928 0.661 1950.152687 530
medium heteromer H1134 TS037_1 81.1 0.88 0.904 0.969 0.724 6371.9847 506
easy homomer T1179 TS288_5o 80.7 0.77 0.825 0.96 0.759 116.6666667 505
easy homomer T1109 TS037_3o 85.2 0.89 0.885 0.966 0.756 9425.58212 442
easy intertwined T1110 TS446_3o 95.1 0.97 0.928 0.982 0.952 9477.720811 442
medium homomer T1123 TS158_5o 46.2 0.59 0.657 0.903 0.511 10.23333333 428
easy intertwined T1127 TS390_5o 90.8 0.93 0.897 0.978 0.892 7245.218289 411
hard intertwined T1113 TS248_2o 93.1 0.93 0.92 0.974 0.857 8 336
medium nanobody H1142 TS119_2 44.7 0.61 0.814 0.773 0.314 2682.259509 335
hard homomer T1187 TS494_5o 95.1 0.96 0.861 0.953 0.847 3858.505359 330
medium nanobody H1141 TS374_2 80.3 0.77 0.876 0.959 0.765 2753.509658 329
medium nanobody H1143 TS390_2 91.6 0.93 0.885 0.979 0.863 2710.519995 329
medium nanobody H1140 TS037_1 80.7 0.75 0.829 0.967 0.816 2778.155906 328
medium nanobody H1144 TS374_2 74.1 0.86 0.922 0.992 0.872 2597.415553 324
easy heteromer H1106 TS441_3 83.6 0.84 0.85 0.936 0.744 612.3869416 182
easy intertwined T1161 TS037_3o 92 0.88 0.885 0.923 0.674 1147.5 96
easy intertwined T1160 TS278_2o 56.5 0.5 0.729 0.799 0.711 1583.514439 58
