Target_name NBIS-AF2-M Yang-Multimer Yang Wallner Zheng Venclovas
H1106 80.2 68.6 82.7 79.4 80 66.7
H1106 79.4 78.3 79.6 80.4 81.3 81.4
H1106 78.1 72.2 81.1 77.7 80.7 80.5
H1106 80 81.7 68.6 76.5 80.2 78.7
H1106 78.1 71.6 67 77.4 80 77.7
H1111 4.3 58.2 47.4 3.9 47.9 45.1
H1111 3.7 60.9 47.4 4.5 40.4 45
H1111 4 58.9 47.4 4.1 41.6 40.6
H1111 4.3 53.8 49.5 3.9 46.5 40.7
H1111 4.3 53.4 49.5 4 39 0
H1114 16.7 75.6 84.1 5.6 82.2 81.2
H1114 16.8 5.9 82.1 6 81.7 80.3
H1114 16.7 5.7 82.2 5.9 81.6 81.8
H1114 17.1 5.8 82.3 0 82.9 80.3
H1114 16.2 5.8 83.9 0 81.9 34.4
H1114v2 37.2 55.4 57.9 1.8 55.3 61.1
H1114v2 36.6 1.5 52.3 2.4 53.8 57.5
H1114v2 36.1 1.7 53.4 0 53.5 62.2
H1114v2 38.4 0.5 53.2 0 57.3 57.3
H1114v2 35.7 1.9 58.3 0 55.6 54.6
H1129 3.2 57.3 73.1 75.8 1.1 75.2
H1129 8.4 60.9 67.1 0 21 1
H1129 2.1 66.4 73.4 9.3 23.3 3.9
H1129 1.1 54.2 68.6 7.6 5.5 0
H1129 5.7 56 70.5 9.2 5.4 0
H1134 47.5 75 75.3 81.1 59.8 76.3
H1134 68.9 67.7 43.5 0 75.1 0
H1134 68.4 69.8 30.4 0 57.8 1.1
H1134 47.7 31.5 71.1 0 57.1 0
H1134 47.9 30.4 44.2 40.2 58.3 0
H1135 37.2 59.7 60.4 59.1 59.8 60.3
H1135 38.4 56.1 56.7 60.4 59.9 57.6
H1135 37.6 54 55.6 60.4 59.9 65.9
H1135 37.2 59.8 56.1 37.9 59.8 60.1
H1135 38.3 56.3 58.9 2.5 60 15
H1137 66.2 81.4 78.6 62.2 78.7 82.2
H1137 64.1 77 79.3 9.4 79 79.8
H1137 59.9 78.6 78.7 53.9 78.9 70.3
H1137 39.9 81.2 78.8 0 79.9 54.2
H1137 34.1 81.3 81.4 0 78.9 19.2
H1140 2.3 0 3.7 80.7 51.1 26.7
H1140 4.3 0 2.1 0 53.8 10.6
H1140 0 2.4 0 0 42.2 23.9
H1140 0 0 3.6 0 0 0
H1140 9.8 13 3.8 0 6.4 0
H1141 6.4 2.1 2.2 75 79.4 72.3
H1141 8.5 5.9 4 0 80.3 56.4
H1141 0 4.2 6.2 0 0 1.6
H1141 8.6 4 4 0 8.5 1.3
H1141 5.9 4.2 2 0 0 4.1
H1142 0 0 0 0 0 0
H1142 0 0 0 2 0 0
H1142 0 0 0 0 1.9 0
H1142 0 0 0 0 0 0
H1142 0 0 0 2.2 0 0
H1143 89.5 86 85.7 90.7 89.9 83.3
H1143 91.6 51.1 89.1 0 89.7 85.2
H1143 88.7 89.1 51.1 0 87.5 0
H1143 86.5 7.7 0 0 88.9 47.4
H1143 87.6 88.9 88.7 0 1.8 3.4
H1144 9.2 67.2 65.2 73.2 73.6 0
H1144 0 9.4 9.4 8.3 74.1 0
H1144 6.8 7.8 7.9 0 1.7 0
H1144 0 9.2 7.7 39.7 9.4 11.5
H1144 6.7 9.4 9.1 14.9 0 9.8
H1151 82.2 80 78.7 84.1 76.9 73.3
H1151 80 79.5 79.5 71.6 76.4 80.9
H1151 79.1 77.8 77.8 78.7 80.9 76.6
H1151 80.9 72.3 72.3 66 81.7 0
H1151 82.2 71.3 71.3 72.3 72.9 60.5
H1157 73.5 73.4 71.5 0 73.6 72.4
H1157 71.9 0 72.2 0 73.6 70.7
H1157 70.9 69.2 71.5 0 70.6 72.9
H1157 70.5 72.9 71.3 0 71.1 67.3
H1157 71 70.8 70.3 0 72.9 68.9
H1166v1 0 2.1 0 1.7 1.7 0
H1166v1 0 2.7 0 0 9.6 28.8
H1166v1 0 3.2 0 0 5 0
H1166v1 11.9 2.7 0 0 0 0
H1166v1 20.2 0 0 2.4 0 0
H1167v1 0 0 0 0 0 0
H1167v1 0 0 0 0 0 0
H1167v1 0 0 0 0 0 0
H1167v1 0 0 0 0 0 0
H1167v1 0 0 0 0 0 9.7
H1168v1 70.6 64.8 64.8 70.7 69.4 79.3
H1168v1 70.9 69.2 69.2 4.4 68.4 67.8
H1168v1 68.5 69.1 69.1 0 66.7 0
H1168v1 64.8 79.3 79.3 0 69.7 60.7
H1168v1 68.4 60.7 60.7 0 67.3 0
H1171 55.1 0 55.5 0 52.4 58.3
H1171 56.6 0 52.5 0 57.3 54.2
H1171 52.2 0 54.2 0 55.7 54
H1171 57.6 0 55.3 0 53.9 58.9
H1171 55 0 55.7 0 57.5 54.1
H1172 55.4 0 54 0 55.6 59.8
H1172 49 0 52.9 0 51.8 59.6
H1172 50.1 0 52.3 0 53.8 60.2
H1172 56 0 47.8 0 50.1 52
H1172 55.7 0 46.7 0 55.2 54.9
H1185 69.2 71.6 69.1 0 67.2 68.8
H1185 69.6 72.3 72.3 0 66.2 67.9
H1185 68.7 71.7 71.7 0 66.1 68.7
H1185 69.1 68.8 68.8 0 68.5 24.4
H1185 68.9 69.1 71.6 0 68.1 24
T1109 50.8 84.9 50.8 49.2 82.5 81.9
T1109 48.9 52.2 84.9 51.9 49.5 46.2
T1109 48.9 84.8 52.2 85.2 80.9 51
T1109 51.8 53 52.3 84.9 49.4 24.6
T1109 51.1 83.1 51 59.7 51.7 44.4
T1110 91.3 89.7 91.7 92.4 90.4 91.4
T1110 91.6 91.1 82.9 87 94.9 87.4
T1110 92.2 91.7 50.9 91.6 90.8 87.4
T1110 91.1 92.8 52.3 0 95.1 78.7
T1110 91.9 89.5 91.1 0 92.3 52.4
T1113 75.9 91.4 91.4 78 89.7 90.1
T1113 77 92.2 90.4 78.1 75.7 75.7
T1113 76.6 75.1 91.7 70.9 75.4 3.7
T1113 77.8 77 91.1 74.9 90.2 3.6
T1113 79.1 76.2 90.9 67.7 88.2 0
T1115 16.9 14.3 12 0 38.9 67.7
T1115 17.4 12.5 12.2 0 35.7 66.2
