target_name F1 lDDToligo DockQ_Avg Jaccard TMscore
H1106 80.2 0.841 0.763 0.77 0.934
H1111 4.3 0.082 0.704 0.05 0.080
H1114 17.1 0.215 0.731 0.17 0.244
H1114v2 38.4 0.735 0.677 0.38 0.727
H1129 8.4 0.733 0.099 0.23 0.759
H1134 68.9 0.874 0.660 0.77 0.965
H1135 38.4 0.774 0.302 0.35 0.481
H1137 66.2 0.651 0.353 0.70 0.592
H1140 9.8 0.753 0.044 0.33 0.624
H1141 8.6 0.814 0.075 0.29 0.675
H1142 0.0 0.809 0.011 0.20 0.616
H1143 91.6 0.885 0.863 0.93 0.979
H1144 9.2 0.842 0.071 0.54 0.681
H1151 82.2 0.849 0.719 0.79 0.935
H1157 73.5 0.681 0.532 0.68 0.846
H1166v1 20.2 0.827 0.113 0.42 0.579
H1167v1 0.0 0.835 0.026 0.21 0.524
H1168v1 70.9 0.909 0.651 0.77 0.922
H1171 57.6 0.799 0.525 0.64 0.940
H1172 56.0 0.792 0.418 0.61 0.921
H1185 69.6 0.795 0.778 0.65 0.968
T1109 51.8 0.844 0.261 0.48 0.905
T1110 92.2 0.933 0.939 0.95 0.982
T1113 79.1 0.863 0.667 0.90 0.910
T1115 18.0 0.293 0.127 0.18 0.298
T1121 42.3 0.772 0.156 0.26 0.546
T1123 19.6 0.579 0.202 0.43 0.835
T1124 86.6 0.853 0.745 0.84 0.950
T1127 90.8 0.897 0.892 0.93 0.978
T1132 86.0 0.913 0.832 0.88 0.983
T1153 74.1 0.868 0.703 0.72 0.944
T1160 15.9 0.447 0.174 0.46 0.342
T1161 36.2 0.473 0.213 0.71 0.454
T1170 57.3 0.798 0.525 0.64 0.935
T1173 47.0 0.515 0.327 0.43 0.316
T1174 81.3 0.639 0.283 0.76 0.666
T1178 63.8 0.752 0.571 0.81 0.931
T1179 16.1 0.515 0.209 0.45 0.785
T1181 49.1 0.691 0.170 0.52 0.768
T1187 0.0 0.775 0.015 0.13 0.495
T1192 69.8 0.844 0.817 0.62 0.884
