target_name group_no QS F1 Jaccard
T1125-D12 439 0.314 31.1 0.50
T1125-D12 229s 0.295 27.5 0.49
T1125-D12 008 0.292 29.2 0.49
T1125-D12 162s 0.289 37.9 0.48
T1125-D12 229s 0.223 26.2 0.36
T1125-D12 215s 0.170 27.3 0.31
T1125-D12 158s 0.170 25.5 0.41
T1125-D12 003 0.170 25.5 0.41
T1125-D12 120s 0.170 25.5 0.41
T1125-D12 003 0.141 26.2 0.26
T1125-D12 162s 0.141 25.0 0.29
T1125-D12 403s 0.125 6.9 0.34
T1125-D12 439 0.118 24.4 0.30
T1125-D12 439 0.114 26.5 0.26
T1125-D12 229s 0.112 24.0 0.23
T1125-D12 264s 0.109 12.3 0.31
T1125-D12 018s 0.109 12.3 0.31
T1125-D12 261s 0.109 12.3 0.31
T1125-D12 188s 0.093 6.4 0.25
T1125-D12 089s 0.093 6.4 0.25
T1125-D12 169 0.093 6.4 0.25
T1125-D12 229s 0.090 22.5 0.21
T1125-D12 439 0.088 27.8 0.25
T1125-D12 185 0.079 9.6 0.21
T1125-D12 439 0.078 26.3 0.23
T1125-D12 097 0.078 4.1 0.21
T1125-D12 162s 0.077 24.4 0.28
T1125-D12 097 0.075 8.2 0.15
T1125-D12 166s 0.074 7.1 0.21
T1125-D12 450s 0.074 3.5 0.23
T1125-D12 008 0.074 5.1 0.27
T1125-D12 185 0.071 9.9 0.21
T1125-D12 120s 0.071 6.1 0.23
T1125-D12 367 0.071 6.1 0.23
T1125-D12 120s 0.070 7.0 0.20
T1125-D12 158s 0.066 5.1 0.16
T1125-D12 185 0.065 9.8 0.21
T1125-D12 185 0.064 8.1 0.13
T1125-D12 229s 0.064 21.6 0.19
T1125-D12 018s 0.060 7.6 0.38
T1125-D12 261s 0.060 7.6 0.38
T1125-D12 264s 0.060 7.6 0.38
T1125-D12 008 0.059 9.1 0.14
T1125-D12 443s 0.058 6.2 0.24
T1125-D12 188s 0.057 8.6 0.15
T1125-D12 481s 0.057 8.6 0.15
T1125-D12 169 0.057 8.6 0.15
T1125-D12 131s 0.057 1.9 0.17
T1125-D12 370s 0.056 5.5 0.14
T1125-D12 370s 0.055 4.2 0.19
T1125-D12 353s 0.055 7.6 0.13
T1125-D12 018s 0.053 9.4 0.28
T1125-D12 264s 0.053 9.4 0.28
T1125-D12 261s 0.053 9.4 0.28
T1125-D12 275 0.049 10.3 0.17
T1125-D12 008 0.048 20.8 0.22
T1125-D12 097 0.048 2.8 0.19
T1125-D12 086s 0.048 7.7 0.20
T1125-D12 475s 0.048 7.7 0.20
T1125-D12 475s 0.047 9.1 0.13
T1125-D12 158s 0.047 9.1 0.13
T1125-D12 120s 0.047 9.1 0.13
T1125-D12 003 0.047 9.1 0.13
T1125-D12 086s 0.047 9.1 0.13
T1125-D12 162s 0.046 7.7 0.28
T1125-D12 131s 0.046 7.8 0.17
T1125-D12 091 0.046 2.8 0.21
T1125-D12 342 0.046 8.0 0.14
T1125-D12 245s 0.045 9.0 0.10
T1125-D12 248 0.045 10.1 0.23
T1125-D12 035s 0.045 10.1 0.23
T1125-D12 125s 0.044 8.1 0.12
T1125-D12 054 0.044 8.1 0.12
T1125-D12 399 0.044 8.1 0.12
T1125-D12 225 0.044 7.9 0.09
T1125-D12 257 0.043 5.1 0.14
T1125-D12 264s 0.043 7.0 0.24
T1125-D12 018s 0.043 7.0 0.24
T1125-D12 261s 0.043 7.0 0.24
T1125-D12 147 0.043 8.8 0.12
T1125-D12 466s 0.042 9.0 0.11
T1125-D12 216 0.042 6.0 0.08
T1125-D12 320 0.042 6.0 0.08
T1125-D12 269 0.042 6.0 0.08
T1125-D12 455 0.042 6.0 0.08
T1125-D12 270s 0.042 6.0 0.08
T1125-D12 354 0.042 6.0 0.08
T1125-D12 117 0.042 6.0 0.08
T1125-D12 276 0.042 6.0 0.08
T1125-D12 091 0.041 3.5 0.25
T1125-D12 234 0.040 10.4 0.27
T1125-D12 234 0.040 10.5 0.24
T1125-D12 234 0.039 7.8 0.28
T1125-D12 119 0.039 6.7 0.19
T1125-D12 131s 0.039 6.7 0.19
T1125-D12 151s 0.039 10.8 0.14
T1125-D12 151s 0.039 10.8 0.14
T1125-D12 494 0.038 6.1 0.17
T1125-D12 481s 0.038 5.6 0.14
T1125-D12 282s 0.038 5.6 0.14
T1125-D12 450s 0.038 9.3 0.19
T1125-D12 399 0.037 7.4 0.27
T1125-D12 125s 0.037 7.4 0.27
T1125-D12 054 0.037 7.4 0.27
T1125-D12 383s 0.036 6.1 0.11
T1125-D12 383s 0.036 6.1 0.11
T1125-D12 383s 0.036 6.1 0.11
T1125-D12 403s 0.036 6.1 0.11
T1125-D12 225 0.036 4.1 0.21
T1125-D12 067 0.036 5.3 0.18
T1125-D12 119 0.035 10.6 0.17
T1125-D12 446s 0.035 10.6 0.17
T1125-D12 461 0.035 10.6 0.17
T1125-D12 370s 0.033 5.1 0.17
T1125-D12 370s 0.033 4.0 0.20
T1125-D12 097 0.033 7.4 0.16
T1125-D12 074 0.033 8.5 0.12
T1125-D12 133s 0.032 8.7 0.13
T1125-D12 018s 0.032 7.0 0.25
T1125-D12 264s 0.032 7.0 0.25
T1125-D12 261s 0.032 7.0 0.25
T1125-D12 225 0.031 5.8 0.12
T1125-D12 298s 0.030 9.1 0.09
T1125-D12 360 0.030 9.1 0.09
T1125-D12 403s 0.030 7.4 0.20
T1125-D12 147 0.030 4.6 0.11
T1125-D12 342 0.029 4.9 0.21
T1125-D12 225 0.029 6.5 0.16
T1125-D12 433 0.029 8.6 0.13
