target_name gr_no first_F1 target_name1 gr_no1 best_F1
H1106 494 66.7 H1106 494 81.4
H1111 494 45.1 H1111 494 45.1
H1114 494 81.2 H1114 494 81.8
H1114v2 494 61.1 H1114v2 494 62.2
H1129 494 75.2 H1129 494 75.2
H1134 494 76.3 H1134 494 76.3
H1135 494 60.3 H1135 494 65.9
H1137 494 82.2 H1137 494 82.2
H1140 494 26.7 H1140 494 26.7
H1141 494 72.3 H1141 494 72.3
H1142 494 0 H1142 494 0
H1143 494 83.3 H1143 494 85.2
H1144 494 0 H1144 494 11.5
H1151 494 73.3 H1151 494 80.9
H1157 494 72.4 H1157 494 72.9
H1166v1 494 0 H1166v1 494 28.8
H1167v1 494 0 H1167v1 494 9.7
H1168v1 494 79.3 H1168v1 494 79.3
H1171 494 58.3 H1171 494 58.9
H1172 494 59.8 H1172 494 60.2
H1185 494 68.8 H1185 494 68.8
T1109 494 81.9 T1109 494 81.9
T1110 494 91.4 T1110 494 91.4
T1113 494 90.1 T1113 494 90.1
T1115 494 67.7 T1115 494 67.7
T1121 494 41.2 T1121 494 55.2
T1123 494 30.4 T1123 494 43.2
T1124 494 83.4 T1124 494 83.4
T1127 494 88.1 T1127 494 89.2
T1132 494 86.2 T1132 494 86.2
T1153 494 81.1 T1153 494 81.9
T1160 494 14.8 T1160 494 18.3
T1161 494 40.9 T1161 494 40.9
T1170 494 56.8 T1170 494 59.9
T1173 494 54.6 T1173 494 54.6
T1174 494 86.1 T1174 494 86.1
T1178 494 60.2 T1178 494 60.2
T1179 494 11.9 T1179 494 21.7
T1181 494 46 T1181 494 56.8
T1187 494 0 T1187 494 95.1
T1192 494 70.5 T1192 494 74.2
