target_name Neff_comb Neff_norm QS F1 Jaccard.Coef. aa_size
T1125 5.80838244 0.04788896 0.317 26.6 0.34 1200
T1125-D12 4 0.02840382 0.289 37.9 0.48 1200
T1125-D23 17.8885438 0.13711823 0.909 82.8 0.88 1200
T1125-D34 8.94427191 0.07024033 0.038 12.1 0.17 1200
T1125-D45 2.44948974 0.01684304 0.75 69.4 0.68 1200
T1125-D56 5.47722558 0.05504819 0.408 62.5 0.67 1200
T1145 1841.14611 8.04531071 0.915 87.8 0.79 635
T1154 46.0868745 0.11139279 0.916 83.9 0.86 1424
T1158 13598.7191 23.8333166 0.8333 83.5 0.82 1340
T1165 2293.33116 5.94901225 0.507 52.8 0.52 3014
T1165-D12 2403.5297 3.74476075 0.86 80.3 0.8 3014
T1165-D16 2471.62598 5.03203543 0.096 5.1 0.18 3014
T1165-D23 2457.86696 3.71989287 0.892 89.5 0.83 3014
T1165-D36 2527.50272 4.99861913 0.931 93.3 0.95 3014
T1165-D56 2550.4631 6.35395767 0.639 58.1 0.55 3014
T1169 148.0746158 1.87997656 0.662 63.6 0.64 3364
T1169-D12 34.5976878 1.8626769 0.331 33.8 0.32 3364
T1169-D23 59.8832197 2.99042529 0.805 68 0.72 3364
T1169-D34 633.744428 1.38385671 0.903 84.2 0.84 3364
T1180 11234.3251 27.8077354 0.949 98.6 0.72 404
